name,adset_name,campaign_name,event_date,sum,revenue
,,NDPA_NS_LAEthnicBuyer_Pur,2024-01-27 00:00:00,117403.76,285744.00207744600
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2_iOS_LC,2024-01-28 00:00:00,101775.05,409335.70530224600
,,NDPA_NS_ASC_80%Exis_Obj_Pur Campaign,2024-02-03 00:00:00,191077.38,300950.4318529400
,,NDPA_NS_Buyers_Lapsed_F_18-65_OBJ-VC_Duplicate_D2,2024-01-29 00:00:00,10120.44,3299.9882360529500
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-02-03 00:00:00,593164.6,2092960.4520563600
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-02-01 00:00:00,50298.27,251349.73238102900
,,NDPA_NS_LABBSBuyers_Clearance_Pur,2024-01-31 00:00:00,100561.59,324873.9384365490
,,DPA_APP_AFCart_abondaners_Android,2024-02-03 00:00:00,97066.59,85335.93214620010
,,DPA_App_ASC_NonMetro_Pur Campaign,2024-02-02 00:00:00,80612.29,149047.47306148800
,,DPA_gt-All_t-EB0AppVisitor_ds-Lockdown,2024-02-01 00:00:00,121162.64,544041.084964162
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown_BidCap_2_LC_iOS,2024-01-30 00:00:00,20155.59,28684.62621980390
,,NDPA_gt-ALL_t-LA0to10LIFETIMEBUYERS_ds-Lockdown_Duplicate,2024-02-01 00:00:00,9989.58,32314.243936869500
,,BI_gt-All_t-AAA_feed_ds-Value,2024-02-03 00:00:00,24287.35,54516.66532561810
,,BI_gt-All_t-AAA_feed_ds-Value,2024-01-30 00:00:00,12182.81,15883.41795959390
,,DPA_AppBBSBuyers_Clearance_Pur,2024-02-01 00:00:00,90945.86,384541.99597928400
,,NDPA_gt-All_t-LA0RRLAudience_ds-Lockdown,2024-01-30 00:00:00,10114.61,39319.6891898114
,,DPA_AppUpsellNew_Pur,2024-01-30 00:00:00,150871.81,527308.3401749800
,,DPA_gt-F_t-AppVisitors_ds-Lockdown,2024-01-30 00:00:00,10092.26,14546.57420829670
,,DPA_AppTrendsBrand_Pur,2024-01-27 00:00:00,77405.38,59802.52574928180
,,NDPA_NS_Buyer_Lookalike_F_0-5_OBJ-Pur_Duplicate,2024-02-02 00:00:00,19994.11,61631.702525383700
,,NDPA_NS_LapsedBuyers_ROIHunter_Discounted Bestseller_Pur,2024-01-31 00:00:00,40155.4,119418.99573260300
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-01-30 00:00:00,30374.94,36747.08557530820
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-02-03 00:00:00,98015.66,56029.35008115890
,,NDPA_NS_Buyer_Lookalike_M_0-5_OBJ-Pur_Duplicate,2024-02-02 00:00:00,19939.29,13753.561453931300
,,NDPA_NS_LAInstallednotPurchsed_15D_Pur,2024-01-31 00:00:00,80204.71,408600.43598778100
,,NDPA_NS_Buyer_Lookalike_F_0-5_OBJ-Pur_Duplicate,2024-01-28 00:00:00,20186.1,82444.57776827400
,,DPA_App_AFBigSaleBuyers_Partywear_Pur,2024-02-02 00:00:00,100930.05,479683.0622806140
,,DPA_gt-All_t-AppUpsellKids_ds-Lockdown,2024-01-31 00:00:00,70534.34,87603.19671094180
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-01-30 00:00:00,20387.02,100690.50175609900
,,DPA_gt-All_t-AppUpsell_ds-Lockdown,2024-02-03 00:00:00,270742.83,267746.3064513390
,,DPA_gt-All_t-EB0AppA2C_ds-Lockdown,2024-01-31 00:00:00,60470.64,166811.29064337300
,,NDPA_NS_LapsedBuyers_ROIHunter_Discounted Bestseller_Pur,2024-02-03 00:00:00,58453.16,251752.88361285600
,,DPA_gt-All_t-AppCABuyersList_ds-Lockdown_Duplicate_BidCap,2024-01-30 00:00:00,202338.75,402519.2889329990
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-01-31 00:00:00,413781.5,973072.9249443760
,,NDPA_NS_LapsedBuyers_ROIHunter_Discounted Bestseller_Pur,2024-01-28 00:00:00,60953.1,56019.23523871750
,,DPA_AppUpSellKidsTshirt299_Pur,2024-02-01 00:00:00,10014.17,8949.028748018310
,,NDPA_NS_LABBSBuyers_Clearance_Pur,2024-02-02 00:00:00,131240.6,432061.24941813800
,,DPA_AppUpSellKidsTshirt299_Pur,2024-02-03 00:00:00,9253.88,32966.05159392430
,,DPA_gt-All_t-AppCrosssellTraffic_ds-Lockdown,2024-02-01 00:00:00,10130.1,41067.77867904000
,,NDPA_NS_LAEthnicBuyer_Pur,2024-01-29 00:00:00,73578.17,219883.19057913400
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-01-31 00:00:00,30014.01,102606.42453197500
,,NDPA_NS_LA_NikePumaAdidasBuyerL90D_Pur,2024-01-28 00:00:00,50734.38,18532.257122801200
,,DPA_APPAFInstalled_notactive_And30D,2024-02-01 00:00:00,80476.59,87170.97304281120
,,DPA_gt-All_t-AppCrosssell_ds-Lockdown,2024-01-28 00:00:00,624961.75,3160136.9987922700
,,NDPA_NS_LAiOSPurchsedGT5000_180D_LC,2024-02-02 00:00:00,19760.21,13180.091597910200
,,DPA_gt-F_t-AppA2C_ds-Lockdown,2024-02-03 00:00:00,78024.44,279181.3510238790
,,NDPA_NS_Buyers_Lapsed_M_18-65_OBJ-VC_Duplicate_iOS_LC,2024-02-03 00:00:00,147764.97,169984.40662434900
,,DPA_AppUpSell_Promoted_Pur,2024-01-28 00:00:00,305574.78,1149360.5958449000
,,NDPA_NS_LAInstalledPurchsed_30D_Pur,2024-02-03 00:00:00,116898.7,433635.334665444
,,NDPA_NS_LABuyers_ROI_HunterF_18-65_OBJ-Pur,2024-01-29 00:00:00,20185.18,28885.72912830580
,,DPA_AppUpSell_Promoted_Pur,2024-02-01 00:00:00,303857.93,486831.22243840300
,,NDPA_NS_LapsedBuyers_ROIHunter_Discounted Bestseller_Pur,2024-02-01 00:00:00,60510.82,209496.76356437100
,,DPA_App_ASC_NonMetro_Pur Campaign,2024-02-03 00:00:00,77427.03,169090.88577053600
,,DPA_App_AFBigSaleBuyers_Partywear_Pur,2024-01-30 00:00:00,50714.33,62862.75850881350
,,DPA_AppUpsellNew_Pur,2024-01-29 00:00:00,150221.66,575883.6796811840
